ћарка;—сылка;÷ена в $;÷ена в UAH;√ород
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1822364.html;29 340 $;786 450 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1819610.html;27 395 $;733 200 грн; иев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836009.html;28 633 $;766 400 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1834477.html;35 534 $;952 500 грн; иев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834628.html;28 592 $;766 400 грн; иев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1834631.html;39 750 $;1 065 500 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1818938.html;35 534 $;952 500 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1833162.html;27 395 $;733 200 грн; иев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1752356.html;31 316 $;840 000 грн; иев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1760794.html;25 571 $;685 902 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1835853.html;38 685 $;1 036 900 грн; иев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1788348.html;40 771 $;1 091 500 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1758006.html;34 836 $;934 400 грн; иев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1821604.html;41 839 $;1 121 500 грн; иев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834150.html;28 592 $;766 400 грн; иев
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1836285.html;35 177 $;942 883 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1810680.html;38 683 $;1 036 900 грн;ќдесса
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836293.html;28 593 $;766 400 грн;ќдесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1835207.html;38 685 $;1 036 900 грн;ƒнепр (ƒнепропетровск)
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1834260.html;33 315 $;893 000 грн;ƒнепр (ƒнепропетровск)
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836296.html;31 385 $;840 000 грн;ќдесса
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1836302.html;38 763 $;1 039 000 грн;ќдесса
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1835227.html;33 316 $;893 000 грн;ƒнепр (ƒнепропетровск)
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1836589.html;35 177 $;942 883 грн;ќдесса
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1819420.html;35 180 $;943 000 грн;ƒнепр (ƒнепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1817194.html;35 579 $;952 500 грн;ќдесса
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836299.html;32 279 $;865 200 грн;ќдесса
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1836304.html;40 722 $;1 091 500 грн;ќдесса
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1836308.html;39 752 $;1 065 500 грн;ќдесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1836292.html;32 577 $;873 200 грн;ќдесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1833122.html;32 576 $;873 200 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1833124.html;38 683 $;1 036 900 грн; иев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1833635.html;38 761 $;1 038 980 грн; иев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1834154.html;29 632 $;794 290 грн; иев
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1834259.html;32 046 $;859 000 грн;ƒнепр (ƒнепропетровск)
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1829397.html;38 761 $;1 039 000 грн; иев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1828715.html;27 353 $;733 200 грн;ќдесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1835323.html;27 354 $;733 200 грн;ƒнепр (ƒнепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1833123.html;35 534 $;952 500 грн; иев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834153.html;31 337 $;840 000 грн; иев
