Номер;Назавние;Рейтинг;Год;Страна;Жанр;Режисёр
1;FORD против FERRARI;9.1*;2019;США;биография, драма;Джеймс Мэнголд
2;Зов предков;9.0*;2020;США;приключения, анимация;Крис Сандерс
3;Зеленая миля;9.0*;1999;США;драма;Фрэнк Дарабонт
4;Побег из Шоушенка;9.0*;1994;США;драма, триллер;Фрэнк Дэрабон
5;1+1;9.0*;2011;Франция;комедия, драма;Оливье Накаш
6;Вперёд;8.9*;2020;США;анимация, семейный;Дэн Скэнлон
7;Как приручить дракона 3;8.9*;2018;США;анимация, семейный;Дин Деблуа
8;101 далматинец;8.9*;1961;США;семейный, приключения;Клайд Джероними
9;Король Лев;8.9*;1994;США;мюзикл, приключения;Роджер Аллерс
10;Джентльмены;8.9*;2020;США;боевик, криминал;Гай Ричи
11;Хатико: самый верный друг;8.9*;2009;США;семейный, драма;Лассе Халльстрем
12;Начало;8.8*;2010;США / Великобритания;боевик, фантастика;Кристофер Нолан
13;Аватар: Специальная версия;8.8*;2010;США;боевик, триллер;Джеймс Кэмерон
14;Аватар;8.8*;2009;США;боевик, фантастика;Джеймс Кэмерон
15;Капернаум;8.8*;2018;Ливан / Франция;драма;Надин Лабаки
16;Пираты Карибского моря: Проклятие черной жемчужины;8.8*;2003;США;приключения, боевик;Гор Вербински
17;Зеленая книга;8.8*;2018;США;драма;Питер Фаррелли
18;Счастье в конверте;8.8*;2020;Россия;семейный;Светлана Суханова
19;Малефисента: Владычица тьмы;8.8*;2019;США;фэнтези, семейный;Хоаким Роннинг
20;Место встречи изменить нельзя;8.8*;1979;СССР;;Станислав Говорухин
21;12 стульев;8.8*;1976;СССР;комедия, детектив;Марк Захаров
22;Бриллиантовая рука;8.8*;1968;СССР;комедия, приключения;Леонид Гайдай
23;Холодное сердце 2;8.8*;2019;США;анимация, семейный;Крис Бак
24;Джентльмены удачи;8.8*;1971;СССР;криминал, комедия;Александр Серый
25;Богемская рапсодия;8.7*;2018;США / Великобритания;драма, биография;Брайан Сингер
26;Достать ножи;8.7*;2019;США;детектив, драма;Райан Джонсон
27;Анастасия;8.7*;1997;США;анимация, сказка;Дон Блат
28;Пираты Карибского моря: На странных берегах;8.7*;2011;США;боевик, комедия;Роб Маршалл
29;Холодное сердце;8.7*;2013;США;приключения, анимация;Крис Бак
30;Титаник 3D;8.7*;1997;США;приключения, драма;Джеймс Кэмерон
31;Ходячий замок;8.7*;2004;Япония;аниме , сказка;Хаяо Миядзаки
32;Лёд 2;8.7*;2020;Россия;мелодрама, драма;Жора Крыжовников
33;Титаник;8.7*;1997;США;мелодрама, драма;Джеймс Кэмерон
34;Гладиатор;8.6*;2000;Великобритания / США;приключения, драма;Ридли Скотт
35;Мстители: Война бесконечности;8.6*;2018;США;боевик, фантастика;Энтони Руссо
36;Леон;8.6*;1994;Франция;драма, триллер;Люк Бессон
37;Области тьмы;8.6*;2011;США;триллер;Нил Бергер
38;Властелин Колец: Братство Кольца;8.6*;2001;Новая Зеландия / США;приключения, боевик;Питер Джексон
39;Храброе сердце;8.6*;1995;США;военный, биография;Мэл Гибсон
40;Семнадцать мгновений весны;8.6*;1973;СССР;драма, приключения;Татьяна Лиознова
41;Тайна Коко;8.6*;2017;США;анимация, приключения;Ли Анкрич
42;Законопослушный гражданин;8.6*;2009;США;триллер, драма;Ф. Гэри Грей
43;Сумерки;8.6*;2008;США;фэнтези, мелодрама;Кэтрин Хардвик
44;Собачья жизнь 2;8.6*;2019;США;семейный;Гейл Манкусо
45;Бойцовский клуб;8.6*;1999;США / Германия;триллер, боевик;Дэвид Финчер
46;Эверест;8.6*;2019;США;анимация;Тодд Вилдерман
47;В метре друг от друга;8.6*;2019;США;мелодрама, драма;Джастин Бальдони
